timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1655453032801,2879,Op-8-GenerateAvatar-5,200,OK,w3sd Workflow 1-5,text,true,,292,364,3,3,http://192.168.0.87:5001/api/avatar,2879,0,0
1655452994692,40984,Workflow-User-5,200,"Number of samples in transaction : 8, number of failing samples : 0",w3sd Workflow 1-5,,true,,3366,2383,3,3,null,40984,3,3
1655453032747,2959,Op-8-GenerateAvatar-4,200,OK,w3sd Workflow 1-4,text,true,,292,364,2,2,http://192.168.0.87:5001/api/avatar,2959,0,0
1655452994492,41210,Workflow-User-4,200,"Number of samples in transaction : 8, number of failing samples : 0",w3sd Workflow 1-4,,true,,3366,2383,2,2,null,41210,3,3
1655452994304,44946,Op-2-GetAnimations-3,200,OK,w3sd Workflow 1-3,text,true,,296,154,1,1,http://192.168.0.87:5001/api/model/character.fbx/animations,44946,0,0
1655453039252,2696,Op-3-GetItems-3,200,OK,w3sd Workflow 1-3,text,true,,1298,154,1,1,http://192.168.0.87:5001/api/model/character.fbx/assemblies,2696,0,0
1655453041948,2672,Op-4-HideElement-3,200,OK,w3sd Workflow 1-3,text,true,,292,424,1,1,http://192.168.0.87:5001/api/model/character.fbx/hide,2672,0,0
1655453044620,2706,Op-5-ShowElement-3,200,OK,w3sd Workflow 1-3,text,true,,292,375,1,1,http://192.168.0.87:5001/api/model/character.fbx/show,2706,0,0
1655453047326,2687,Op-6-ChangeTextureColor-3,200,OK,w3sd Workflow 1-3,text,true,,292,388,1,1,http://192.168.0.87:5001/api/model/character.fbx/texturecolor,2687,0,1
1655453050013,2677,Op-7-ChangeTextureMaterial-3,200,OK,w3sd Workflow 1-3,text,true,,292,395,1,1,http://192.168.0.87:5001/api/model/character.fbx/texturematerial,2677,0,0
1655453052692,2704,Op-8-GenerateAvatar-3,200,OK,w3sd Workflow 1-3,text,true,,292,364,1,1,http://192.168.0.87:5001/api/avatar,2704,0,0
1655452994293,61098,Workflow-User-3,200,"Number of samples in transaction : 8, number of failing samples : 0",w3sd Workflow 1-3,,true,,3366,2383,1,1,null,61098,4,2
