id,study,operation,totalcpuusageOS,totalcpuusagepsutils,cpuusagepsutil,memoryusage,timestamp
5,mono_10,Op-7,"[2.21, 2.21, 2.21]","[99.5, 100.0, 100.0]","[[100.0, 100.0], [49.5, 100.0], [85.0, 100.0]]","[21.2, 21.0, 21.6]",1685198884.600102
10,mono_10,Op-5,"[2.21, 2.21, 2.19]","[100.0, 83.6, 92.4]","[[80.8, 100.0], [100.0, 100.0], [74.0, 99.0]]","[20.0, 21.2, 21.4]",1685198885.910427
5,mono_10,Op-8,"[2.21, 2.19, 2.19]","[74.2, 92.4, 99.5]","[[100.0, 100.0], [74.0, 99.0], [100.0, 100.0]]","[21.1, 20.8, 21.5]",1685198887.6330383
10,mono_10,Op-6,"[2.21, 2.19, 2.19]","[100.0, 87.0, 100.0]","[[84.8, 100.0], [100.0, 100.0], [86.9, 100.0]]","[21.6, 21.0, 20.9]",1685198888.8357952
5,mono_10,Op-9,"[2.19, 2.19, 2.1]","[87.0, 100.0, 80.5]","[[100.0, 100.0], [88.1, 100.0], [100.0, 6.2]]","[20.9, 22.2, 20.0]",1685198890.6377835
6,mono_10,Op-3,"[2.19, 2.19, 2.1]","[99.5, 94.4, 52.0]","[[100.0, 100.0], [99.0, 79.8], [100.0, 10.2]]","[21.3, 19.7, 20.3]",1685198891.448857
10,mono_10,Op-7,"[2.19, 2.19, 2.1]","[100.0, 96.0, 55.1]","[[95.9, 100.0], [100.0, 9.1], [44.0, 64.3]]","[21.8, 19.8, 19.7]",1685198892.1868021
6,mono_10,Op-4,"[2.1, 2.1, 2.1]","[80.3, 55.1, 54.3]","[[100.0, 6.2], [9.8, 100.0], [9.0, 97.9]]","[20.0, 19.8, 19.3]",1685198894.6545851
10,mono_10,Op-8,"[2.1, 2.1, 2.1]","[52.7, 54.5, 55.1]","[[100.0, 10.3], [6.1, 100.0], [9.9, 98.0]]","[20.3, 19.9, 19.7]",1685198895.2339547
6,mono_10,Op-5,"[2.1, 2.01, 2.01]","[53.5, 52.6, 54.8]","[[9.1, 100.0], [10.9, 100.0], [9.0, 99.0]]","[20.2, 19.8, 19.6]",1685198897.5907385
10,mono_10,Op-9,"[2.1, 2.01, 2.01]","[52.6, 53.0, 53.3]","[[10.1, 100.0], [11.1, 100.0], [6.1, 100.0]]","[20.3, 20.1, 19.9]",1685198898.2378829
6,mono_10,Op-6,"[2.01, 2.01, 2.01]","[54.5, 53.3, 55.3]","[[11.0, 100.0], [9.1, 100.0], [7.9, 71.0]]","[20.2, 19.9, 18.5]",1685198900.3310676
6,mono_10,Op-7,"[2.01, 1.85, 1.85]","[53.5, 52.0, 0.0]","[[12.1, 100.0], [1.0, 1.0], [1.0, 0.0]]","[20.1, 18.5, 18.5]",1685198903.1096098
6,mono_10,Op-8,"[1.85, 1.85, 1.7]","[2.5, 0.5, 0.5]","[[1.0, 0.0], [2.0, 2.0], [1.0, 0.0]]","[18.5, 18.4, 18.4]",1685198906.052649
6,mono_10,Op-9,"[1.85, 1.7, 1.7]","[2.0, 0.5, 0.5]","[[1.0, 0.0], [1.0, 0.0], [1.0, 0.0]]","[18.4, 18.4, 18.4]",1685198909.0562036
