timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,IdleTime,Connect
1655379556752,2845,Op-4-HideElement-8,200,OK,w3sd Workflow 1-8,text,true,,292,424,10,10,http://192.168.0.87:5001/api/model/character.fbx/hide,2845,1,0,0,0
1655379556728,2927,Op-6-ChangeTextureColor-1,200,OK,w3sd Workflow 1-1,text,true,,292,388,10,10,http://192.168.0.87:5001/api/model/character.fbx/texturecolor,2927,1,0,0,0
1655379545210,17369,Op-2-GetAnimations-3,200,OK,w3sd Workflow 1-3,text,true,,296,154,10,10,http://192.168.0.87:5001/api/model/character.fbx/animations,17369,1,0,0,0
1655379559597,3036,Op-5-ShowElement-8,200,OK,w3sd Workflow 1-8,text,true,,292,375,10,10,http://192.168.0.87:5001/api/model/character.fbx/show,3036,1,0,0,0
1655379562632,2859,Op-6-ChangeTextureColor-8,200,OK,w3sd Workflow 1-8,text,true,,292,388,10,10,http://192.168.0.87:5001/api/model/character.fbx/texturecolor,2859,1,0,0,0
1655379562579,2951,Op-3-GetItems-3,200,OK,w3sd Workflow 1-3,text,true,,1298,154,10,10,http://192.168.0.87:5001/api/model/character.fbx/assemblies,2951,1,0,0,0
1655379565530,2768,Op-4-HideElement-3,200,OK,w3sd Workflow 1-3,text,true,,292,424,10,10,http://192.168.0.87:5001/api/model/character.fbx/hide,2768,1,0,0,1
1655379565492,3131,Op-7-ChangeTextureMaterial-8,200,OK,w3sd Workflow 1-8,text,true,,292,395,10,10,http://192.168.0.87:5001/api/model/character.fbx/texturematerial,3131,1,0,0,0
1655379568298,3123,Op-5-ShowElement-3,200,OK,w3sd Workflow 1-3,text,true,,292,375,10,10,http://192.168.0.87:5001/api/model/character.fbx/show,3123,1,0,0,0
1655379568623,2939,Op-8-GenerateAvatar-8,200,OK,w3sd Workflow 1-8,text,true,,292,364,10,10,http://192.168.0.87:5001/api/avatar,2939,1,0,0,1
1655379545700,25861,Workflow-User-8,200,"Number of samples in transaction : 8, number of failing samples : 0",w3sd Workflow 1-8,,true,,3366,2383,10,10,null,25861,1,0,2,2
1655379571421,2986,Op-6-ChangeTextureColor-3,200,OK,w3sd Workflow 1-3,text,true,,292,388,9,9,http://192.168.0.87:5001/api/model/character.fbx/texturecolor,2986,1,0,0,0
1655379545910,28766,Op-2-GetAnimations-10,200,OK,w3sd Workflow 1-10,text,true,,296,154,9,9,http://192.168.0.87:5001/api/model/character.fbx/animations,28766,1,0,0,0
1655379574407,3153,Op-7-ChangeTextureMaterial-3,200,OK,w3sd Workflow 1-3,text,true,,292,395,9,9,http://192.168.0.87:5001/api/model/character.fbx/texturematerial,3153,1,0,0,1
1655379574675,3261,Op-3-GetItems-10,200,OK,w3sd Workflow 1-10,text,true,,1298,154,9,9,http://192.168.0.87:5001/api/model/character.fbx/assemblies,3261,1,0,0,1
1655379545611,35285,Op-2-GetAnimations-7,200,OK,w3sd Workflow 1-7,text,true,,296,154,9,9,http://192.168.0.87:5001/api/model/character.fbx/animations,35285,1,0,0,0
1655379577561,3391,Op-8-GenerateAvatar-3,200,OK,w3sd Workflow 1-3,text,true,,292,364,9,9,http://192.168.0.87:5001/api/avatar,3391,1,0,0,1
1655379545201,35750,Workflow-User-3,200,"Number of samples in transaction : 8, number of failing samples : 0",w3sd Workflow 1-3,,true,,3366,2383,9,9,null,35750,1,0,1,3
1655379580896,3137,Op-3-GetItems-7,200,OK,w3sd Workflow 1-7,text,true,,1298,154,8,8,http://192.168.0.87:5001/api/model/character.fbx/assemblies,3137,1,0,0,1
1655379577937,6212,Op-4-HideElement-10,200,OK,w3sd Workflow 1-10,text,true,,292,424,8,8,http://192.168.0.87:5001/api/model/character.fbx/hide,6212,1,0,0,1
1655379584033,3110,Op-4-HideElement-7,200,OK,w3sd Workflow 1-7,text,true,,292,424,8,8,http://192.168.0.87:5001/api/model/character.fbx/hide,3110,1,0,0,0
1655379584149,3195,Op-5-ShowElement-10,200,OK,w3sd Workflow 1-10,text,true,,292,375,8,8,http://192.168.0.87:5001/api/model/character.fbx/show,3195,1,0,0,0
1655379587144,3132,Op-5-ShowElement-7,200,OK,w3sd Workflow 1-7,text,true,,292,375,8,8,http://192.168.0.87:5001/api/model/character.fbx/show,3132,1,0,0,0
