Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Op-2-GetAnimations-48,1,75352,75352,75352,0.00,0.000%,.01327,0.00,0.00,296.0
Op-2-GetAnimations-52,1,79078,79078,79078,0.00,0.000%,.01265,0.00,0.00,296.0
Op-2-GetAnimations-69,1,79479,79479,79479,0.00,0.000%,.01258,0.00,0.00,296.0
Op-4-HideElement-73,1,40468,40468,40468,0.00,0.000%,.02471,0.01,0.01,292.0
Op-2-GetAnimations-23,1,84572,84572,84572,0.00,0.000%,.01182,0.00,0.00,296.0
Op-5-ShowElement-73,1,4445,4445,4445,0.00,0.000%,.22497,0.06,0.08,292.0
Op-3-GetItems-23,1,4124,4124,4124,0.00,0.000%,.24248,0.31,0.04,1298.0
Op-6-ChangeTextureColor-73,1,4518,4518,4518,0.00,0.000%,.22134,0.06,0.08,292.0
Op-4-HideElement-23,1,4203,4203,4203,0.00,0.000%,.23793,0.07,0.10,292.0
Op-7-ChangeTextureMaterial-73,1,4155,4155,4155,0.00,0.000%,.24067,0.07,0.09,292.0
Op-5-ShowElement-23,1,4263,4263,4263,0.00,0.000%,.23458,0.07,0.09,292.0
Op-8-GenerateAvatar-73,1,4506,4506,4506,0.00,0.000%,.22193,0.06,0.08,292.0
Workflow-User-73,1,100812,100812,100812,0.00,0.000%,.00992,0.03,0.02,3366.0
Op-6-ChangeTextureColor-23,1,4571,4571,4571,0.00,0.000%,.21877,0.06,0.08,292.0
Op-2-GetAnimations-60,1,105258,105258,105258,0.00,0.000%,.00950,0.00,0.00,296.0
Op-2-GetAnimations-59,1,105764,105764,105764,0.00,0.000%,.00946,0.00,0.00,296.0
Op-3-GetItems-69,1,29921,29921,29921,0.00,0.000%,.03342,0.04,0.01,1298.0
Op-3-GetItems-59,1,4038,4038,4038,0.00,0.000%,.24765,0.31,0.04,1298.0
Op-2-GetAnimations-33,1,116307,116307,116307,0.00,0.000%,.00860,0.00,0.00,296.0
Op-2-GetAnimations-22,1,116600,116600,116600,0.00,0.000%,.00858,0.00,0.00,296.0
Op-2-GetAnimations-68,1,116333,116333,116333,0.00,0.000%,.00860,0.00,0.00,296.0
Op-3-GetItems-22,1,4452,4452,4452,0.00,0.000%,.22462,0.28,0.03,1298.0
Op-3-GetItems-68,1,4342,4342,4342,0.00,0.000%,.23031,0.29,0.03,1298.0
Op-2-GetAnimations-24,1,125492,125492,125492,0.00,0.000%,.00797,0.00,0.00,296.0
Op-2-GetAnimations-38,1,125550,125550,125550,0.00,0.000%,.00796,0.00,0.00,296.0
Op-3-GetItems-24,1,4026,4026,4026,0.00,0.000%,.24839,0.31,0.04,1298.0
Op-3-GetItems-38,1,3983,3983,3983,0.00,0.000%,.25107,0.32,0.04,1298.0
Op-4-HideElement-24,1,4113,4113,4113,0.00,0.000%,.24313,0.07,0.10,292.0
Op-4-HideElement-38,1,4275,4275,4275,0.00,0.000%,.23392,0.07,0.10,292.0
Op-5-ShowElement-38,1,5807,5807,5807,0.00,0.000%,.17221,0.05,0.06,292.0
Op-5-ShowElement-24,1,6393,6393,6393,0.00,0.000%,.15642,0.04,0.06,292.0
Op-2-GetAnimations-28,1,140336,140336,140336,0.00,0.000%,.00713,0.00,0.00,296.0
Op-2-GetAnimations-14,1,144215,144215,144215,0.00,0.000%,.00693,0.00,0.00,296.0
Op-3-GetItems-28,1,4205,4205,4205,0.00,0.000%,.23781,0.30,0.04,1298.0
Op-2-GetAnimations-49,1,148156,148156,148156,0.00,0.000%,.00675,0.00,0.00,296.0
Op-3-GetItems-52,1,69082,69082,69082,0.00,0.000%,.01448,0.02,0.00,1298.0
Op-4-HideElement-52,1,3933,3933,3933,0.00,0.000%,.25426,0.07,0.11,292.0
Op-3-GetItems-49,1,4013,4013,4013,0.00,0.000%,.24919,0.32,0.04,1298.0
Op-4-HideElement-49,1,4172,4172,4172,0.00,0.000%,.23969,0.07,0.10,292.0
Op-5-ShowElement-52,1,4256,4256,4256,0.00,0.000%,.23496,0.07,0.09,292.0
Op-5-ShowElement-49,1,3893,3893,3893,0.00,0.000%,.25687,0.07,0.09,292.0
Op-3-GetItems-14,1,16974,16974,16974,0.00,0.000%,.05891,0.07,0.01,1298.0
Op-2-GetAnimations-39,1,164719,164719,164719,0.00,0.000%,.00607,0.00,0.00,296.0
Op-4-HideElement-14,1,4104,4104,4104,0.00,0.000%,.24366,0.07,0.10,292.0
Op-5-ShowElement-14,1,4157,4157,4157,0.00,0.000%,.24056,0.07,0.09,292.0
Op-3-GetItems-39,1,4457,4457,4457,0.00,0.000%,.22437,0.28,0.03,1298.0
Op-6-ChangeTextureColor-14,1,4269,4269,4269,0.00,0.000%,.23425,0.07,0.09,292.0
Op-2-GetAnimations-20,1,173715,173715,173715,0.00,0.000%,.00576,0.00,0.00,296.0
Op-2-GetAnimations-9,1,177816,177816,177816,0.00,0.000%,.00562,0.00,0.00,296.0
Op-3-GetItems-20,1,4228,4228,4228,0.00,0.000%,.23652,0.30,0.04,1298.0
Op-2-GetAnimations-53,1,182837,182837,182837,0.00,0.000%,.00547,0.00,0.00,296.0
Op-2-GetAnimations-63,1,183333,183333,183333,0.00,0.000%,.00545,0.00,0.00,296.0
Op-4-HideElement-20,1,6144,6144,6144,0.00,0.000%,.16276,0.05,0.07,292.0
Op-5-ShowElement-20,1,4101,4101,4101,0.00,0.000%,.24384,0.07,0.09,292.0
Op-3-GetItems-63,1,4355,4355,4355,0.00,0.000%,.22962,0.29,0.03,1298.0
Op-3-GetItems-43,1,183182,183182,183182,0.00,0.000%,.00546,0.01,0.00,1298.0
Op-4-HideElement-63,1,4272,4272,4272,0.00,0.000%,.23408,0.07,0.10,292.0
Op-2-GetAnimations-36,1,197726,197726,197726,0.00,0.000%,.00506,0.00,0.00,296.0
Op-4-HideElement-28,1,53728,53728,53728,0.00,0.000%,.01861,0.01,0.01,292.0
Op-5-ShowElement-63,1,6254,6254,6254,0.00,0.000%,.15990,0.05,0.06,292.0
Op-5-ShowElement-28,1,4091,4091,4091,0.00,0.000%,.24444,0.07,0.09,292.0
Op-2-GetAnimations-65,1,202089,202089,202089,0.00,0.000%,.00495,0.00,0.00,296.0
Op-3-GetItems-65,1,3870,3870,3870,0.00,0.000%,.25840,0.33,0.04,1298.0
Op-3-GetItems-15,1,141730,141730,141730,0.00,0.000%,.00706,0.01,0.00,1298.0
Op-6-ChangeTextureColor-28,1,8112,8112,8112,0.00,0.000%,.12327,0.04,0.05,292.0
Op-4-HideElement-15,1,4312,4312,4312,0.00,0.000%,.23191,0.07,0.10,292.0
Op-4-HideElement-4,1,163194,163194,163194,0.00,0.000%,.00613,0.00,0.00,292.0
Op-5-ShowElement-15,1,4118,4118,4118,0.00,0.000%,.24284,0.07,0.09,292.0
Op-5-ShowElement-4,1,4511,4511,4511,0.00,0.000%,.22168,0.06,0.08,292.0
Op-6-ChangeTextureColor-15,1,4063,4063,4063,0.00,0.000%,.24612,0.07,0.09,292.0
Op-2-GetAnimations-11,1,223432,223432,223432,0.00,0.000%,.00448,0.00,0.00,296.0
Op-7-ChangeTextureMaterial-15,1,4220,4220,4220,0.00,0.000%,.23697,0.07,0.09,292.0
Op-2-GetAnimations-3,1,227759,227759,227759,0.00,0.000%,.00439,0.00,0.00,296.0
Op-2-GetAnimations-34,1,227484,227484,227484,0.00,0.000%,.00440,0.00,0.00,296.0
Op-3-GetItems-9,1,55513,55513,55513,0.00,0.000%,.01801,0.02,0.00,1298.0
Op-2-GetAnimations-46,1,233097,233097,233097,0.00,0.000%,.00429,0.00,0.00,296.0
Op-2-GetAnimations-17,1,234411,234411,234411,0.00,0.000%,.00427,0.00,0.00,296.0
Op-3-GetItems-46,1,4158,4158,4158,0.00,0.000%,.24050,0.30,0.04,1298.0
Op-2-GetAnimations-30,1,238062,238062,238062,0.00,0.000%,.00420,0.00,0.00,296.0
Op-2-GetAnimations-6,1,242203,242203,242203,0.00,0.000%,.00413,0.00,0.00,296.0
Op-3-GetItems-1,1,238190,238190,238190,0.00,0.000%,.00420,0.01,0.00,1298.0
Op-3-GetItems-6,1,4131,4131,4131,0.00,0.000%,.24207,0.31,0.04,1298.0
Op-4-HideElement-1,1,4231,4231,4231,0.00,0.000%,.23635,0.07,0.10,292.0
Op-4-HideElement-6,1,4324,4324,4324,0.00,0.000%,.23127,0.07,0.10,292.0
Op-5-ShowElement-1,1,4031,4031,4031,0.00,0.000%,.24808,0.07,0.09,292.0
Op-5-ShowElement-6,1,3898,3898,3898,0.00,0.000%,.25654,0.07,0.09,292.0
Op-6-ChangeTextureColor-1,1,4382,4382,4382,0.00,0.000%,.22821,0.07,0.09,292.0
Op-6-ChangeTextureColor-6,1,4126,4126,4126,0.00,0.000%,.24237,0.07,0.09,292.0
Op-7-ChangeTextureMaterial-1,1,4039,4039,4039,0.00,0.000%,.24759,0.07,0.10,292.0
Op-7-ChangeTextureMaterial-6,1,3888,3888,3888,0.00,0.000%,.25720,0.07,0.10,292.0
Op-8-GenerateAvatar-1,1,4162,4162,4162,0.00,0.000%,.24027,0.07,0.09,292.0
Workflow-User-1,1,263519,263519,263519,0.00,0.000%,.00379,0.01,0.01,3366.0
Op-6-ChangeTextureColor-52,1,109653,109653,109653,0.00,0.000%,.00912,0.00,0.00,292.0
Op-2-GetAnimations-37,1,267160,267160,267160,0.00,0.000%,.00374,0.00,0.00,296.0
Op-8-GenerateAvatar-6,1,8454,8454,8454,0.00,0.000%,.11829,0.03,0.04,292.0
Workflow-User-6,1,271042,271042,271042,0.00,0.000%,.00369,0.01,0.01,3366.0
Op-3-GetItems-37,1,3960,3960,3960,0.00,0.000%,.25253,0.32,0.04,1298.0
Op-4-HideElement-43,1,83052,83052,83052,0.00,0.000%,.01204,0.00,0.00,292.0
Op-2-GetAnimations-56,1,274923,274923,274923,0.00,0.000%,.00364,0.00,0.00,296.0
Op-5-ShowElement-43,1,4003,4003,4003,0.00,0.000%,.24981,0.07,0.09,292.0
Op-2-GetAnimations-25,1,279646,279646,279646,0.00,0.000%,.00358,0.00,0.00,296.0
Op-6-ChangeTextureColor-43,1,4239,4239,4239,0.00,0.000%,.23590,0.07,0.09,292.0
Op-3-GetItems-25,1,4124,4124,4124,0.00,0.000%,.24248,0.31,0.04,1298.0
Op-7-ChangeTextureMaterial-52,1,20966,20966,20966,0.00,0.000%,.04770,0.01,0.02,292.0
Op-4-HideElement-25,1,4009,4009,4009,0.00,0.000%,.24944,0.07,0.10,292.0
Op-5-ShowElement-25,1,5759,5759,5759,0.00,0.000%,.17364,0.05,0.06,292.0
Op-3-GetItems-70,1,269601,269601,269601,0.00,0.000%,.00371,0.00,0.00,1298.0
Op-8-GenerateAvatar-52,1,6453,6453,6453,0.00,0.000%,.15497,0.04,0.06,292.0
Workflow-User-52,1,293547,293547,293547,0.00,0.000%,.00341,0.01,0.01,3366.0
Op-2-GetAnimations-12,1,297704,297704,297704,0.00,0.000%,.00336,0.00,0.00,296.0
Op-4-HideElement-54,1,222333,222333,222333,0.00,0.000%,.00450,0.00,0.00,292.0
Op-4-HideElement-39,1,133882,133882,133882,0.00,0.000%,.00747,0.00,0.00,292.0
Op-2-GetAnimations-50,1,303925,303925,303925,0.00,0.000%,.00329,0.00,0.00,296.0
Op-5-ShowElement-54,1,6369,6369,6369,0.00,0.000%,.15701,0.04,0.06,292.0
Op-5-ShowElement-39,1,4466,4466,4466,0.00,0.000%,.22391,0.06,0.08,292.0
Op-6-ChangeTextureColor-54,1,3985,3985,3985,0.00,0.000%,.25094,0.07,0.10,292.0
Op-6-ChangeTextureColor-63,1,113368,113368,113368,0.00,0.000%,.00882,0.00,0.00,292.0
Op-3-GetItems-61,1,282081,282081,282081,0.00,0.000%,.00355,0.00,0.00,1298.0
Op-7-ChangeTextureMaterial-63,1,3959,3959,3959,0.00,0.000%,.25259,0.07,0.10,292.0
Op-4-HideElement-61,1,4433,4433,4433,0.00,0.000%,.22558,0.06,0.09,292.0
Op-8-GenerateAvatar-63,1,5718,5718,5718,0.00,0.000%,.17489,0.05,0.06,292.0
Workflow-User-63,1,321412,321412,321412,0.00,0.000%,.00311,0.01,0.01,3366.0
Op-2-GetAnimations-5,1,323003,323003,323003,0.00,0.000%,.00310,0.00,0.00,296.0
Op-5-ShowElement-61,1,5975,5975,5975,0.00,0.000%,.16736,0.05,0.06,292.0
Op-3-GetItems-29,1,291977,291977,291977,0.00,0.000%,.00342,0.00,0.00,1298.0
Op-3-GetItems-3,1,99503,99503,99503,0.00,0.000%,.01005,0.01,0.00,1298.0
Op-3-GetItems-34,1,103260,103260,103260,0.00,0.000%,.00968,0.01,0.00,1298.0
Op-4-HideElement-65,1,124806,124806,124806,0.00,0.000%,.00801,0.00,0.00,292.0
Op-4-HideElement-34,1,5238,5238,5238,0.00,0.000%,.19091,0.05,0.08,292.0
Op-5-ShowElement-65,1,6171,6171,6171,0.00,0.000%,.16205,0.05,0.06,292.0
Op-6-ChangeTextureColor-25,1,44401,44401,44401,0.00,0.000%,.02252,0.01,0.01,292.0
Op-5-ShowElement-34,1,4502,4502,4502,0.00,0.000%,.22212,0.06,0.08,292.0
Op-7-ChangeTextureMaterial-25,1,3932,3932,3932,0.00,0.000%,.25432,0.07,0.10,292.0
Op-6-ChangeTextureColor-34,1,4182,4182,4182,0.00,0.000%,.23912,0.07,0.09,292.0
Op-8-GenerateAvatar-25,1,4185,4185,4185,0.00,0.000%,.23895,0.07,0.08,292.0
Workflow-User-25,1,346099,346099,346099,0.00,0.000%,.00289,0.01,0.01,3366.0
Op-7-ChangeTextureMaterial-34,1,3918,3918,3918,0.00,0.000%,.25523,0.07,0.10,292.0
Op-7-ChangeTextureMaterial-14,1,176604,176604,176604,0.00,0.000%,.00566,0.00,0.00,292.0
Op-2-GetAnimations-41,1,352526,352526,352526,0.00,0.000%,.00284,0.00,0.00,296.0
Op-8-GenerateAvatar-14,1,4049,4049,4049,0.00,0.000%,.24697,0.07,0.09,292.0
Workflow-User-14,1,354404,354404,354404,0.00,0.000%,.00282,0.01,0.01,3366.0
Op-7-ChangeTextureMaterial-23,1,255213,255213,255213,0.00,0.000%,.00392,0.00,0.00,292.0
Op-2-GetAnimations-10,1,358391,358391,358391,0.00,0.000%,.00279,0.00,0.00,296.0
Op-3-GetItems-41,1,8251,8251,8251,0.00,0.000%,.12120,0.15,0.02,1298.0
Op-2-GetAnimations-72,1,361236,361236,361236,0.00,0.000%,.00277,0.00,0.00,296.0
Op-4-HideElement-41,1,4114,4114,4114,0.00,0.000%,.24307,0.07,0.10,292.0
Op-3-GetItems-72,1,3960,3960,3960,0.00,0.000%,.25253,0.32,0.04,1298.0
Op-5-ShowElement-41,1,3917,3917,3917,0.00,0.000%,.25530,0.07,0.09,292.0
Op-4-HideElement-72,1,3910,3910,3910,0.00,0.000%,.25575,0.07,0.11,292.0
Op-6-ChangeTextureColor-41,1,3872,3872,3872,0.00,0.000%,.25826,0.07,0.10,292.0
Op-5-ShowElement-72,1,4234,4234,4234,0.00,0.000%,.23618,0.07,0.09,292.0
Op-7-ChangeTextureMaterial-41,1,4349,4349,4349,0.00,0.000%,.22994,0.07,0.09,292.0
Op-4-HideElement-22,1,257114,257114,257114,0.00,0.000%,.00389,0.00,0.00,292.0
Op-8-GenerateAvatar-41,1,4089,4089,4089,0.00,0.000%,.24456,0.07,0.09,292.0
Workflow-User-41,1,381216,381216,381216,0.00,0.000%,.00262,0.01,0.01,3366.0
Op-5-ShowElement-22,1,4022,4022,4022,0.00,0.000%,.24863,0.07,0.09,292.0
Op-7-ChangeTextureMaterial-28,1,174841,174841,174841,0.00,0.000%,.00572,0.00,0.00,292.0
Op-6-ChangeTextureColor-22,1,4033,4033,4033,0.00,0.000%,.24795,0.07,0.09,292.0
Op-8-GenerateAvatar-28,1,4120,4120,4120,0.00,0.000%,.24272,0.07,0.09,292.0
Workflow-User-28,1,389490,389490,389490,0.00,0.000%,.00257,0.01,0.01,3366.0
Op-2-GetAnimations-7,1,390383,390383,390383,0.00,0.000%,.00256,0.00,0.00,296.0
Op-2-GetAnimations-74,1,392611,392611,392611,0.00,0.000%,.00255,0.00,0.00,296.0
Op-3-GetItems-7,1,4130,4130,4130,0.00,0.000%,.24213,0.31,0.04,1298.0
Op-6-ChangeTextureColor-38,1,257538,257538,257538,0.00,0.000%,.00388,0.00,0.00,292.0
Op-4-HideElement-7,1,3909,3909,3909,0.00,0.000%,.25582,0.07,0.11,292.0
Op-7-ChangeTextureMaterial-38,1,4025,4025,4025,0.00,0.000%,.24845,0.07,0.10,292.0
Op-5-ShowElement-7,1,3827,3827,3827,0.00,0.000%,.26130,0.07,0.10,292.0
Op-8-GenerateAvatar-38,1,4016,4016,4016,0.00,0.000%,.24900,0.07,0.09,292.0
Workflow-User-38,1,405297,405297,405297,0.00,0.000%,.00247,0.01,0.01,3366.0
Op-2-GetAnimations-13,1,405925,405925,405925,0.00,0.000%,.00246,0.00,0.00,296.0
Op-6-ChangeTextureColor-65,1,71831,71831,71831,0.00,0.000%,.01392,0.00,0.01,292.0
