Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Op-4-HideElement-16,1,57329,57329,57329,57329,57329,57329,57329,0.000%,.01744,0.00,0.01
Op-5-ShowElement-5,1,3795,3795,3795,3795,3795,3795,3795,0.000%,.26350,0.08,0.10
Op-2-GetAnimations-39,1,74876,74876,74876,74876,74876,74876,74876,0.000%,.01336,0.00,0.00
Op-5-ShowElement-16,1,3946,3946,3946,3946,3946,3946,3946,0.000%,.25342,0.07,0.09
Op-3-GetItems-8,1,59304,59304,59304,59304,59304,59304,59304,0.000%,.01686,0.02,0.00
Op-6-ChangeTextureColor-16,1,3720,3720,3720,3720,3720,3720,3720,0.000%,.26882,0.08,0.10
Op-4-HideElement-8,1,3357,3357,3357,3357,3357,3357,3357,0.000%,.29789,0.08,0.12
Op-3-GetItems-30,1,52567,52567,52567,52567,52567,52567,52567,0.000%,.01902,0.02,0.00
Op-5-ShowElement-8,1,3848,3848,3848,3848,3848,3848,3848,0.000%,.25988,0.07,0.10
Op-3-GetItems-17,1,62950,62950,62950,62950,62950,62950,62950,0.000%,.01589,0.02,0.00
Op-6-ChangeTextureColor-8,1,3483,3483,3483,3483,3483,3483,3483,0.000%,.28711,0.08,0.11
Op-4-HideElement-17,1,3605,3605,3605,3605,3605,3605,3605,0.000%,.27739,0.08,0.11
Op-7-ChangeTextureMaterial-16,1,14060,14060,14060,14060,14060,14060,14060,0.000%,.07112,0.02,0.03
Op-5-ShowElement-17,1,3422,3422,3422,3422,3422,3422,3422,0.000%,.29223,0.08,0.11
Op-8-GenerateAvatar-16,1,3566,3566,3566,3566,3566,3566,3566,0.000%,.28043,0.08,0.10
Workflow-User-16,1,96958,96958,96958,96958,96958,96958,96958,0.000%,.01031,0.03,0.02
Op-6-ChangeTextureColor-17,1,3567,3567,3567,3567,3567,3567,3567,0.000%,.28035,0.08,0.11
Op-2-GetAnimations-14,1,100489,100489,100489,100489,100489,100489,100489,0.000%,.00995,0.00,0.00
Op-2-GetAnimations-23,1,100562,100562,100562,100562,100562,100562,100562,0.000%,.00994,0.00,0.00
Op-6-ChangeTextureColor-31,1,50011,50011,50011,50011,50011,50011,50011,0.000%,.02000,0.01,0.01
Op-4-HideElement-34,1,85864,85864,85864,85864,85864,85864,85864,0.000%,.01165,0.00,0.00
Op-5-ShowElement-34,1,4519,4519,4519,4519,4519,4519,4519,0.000%,.22129,0.06,0.08
Op-2-GetAnimations-9,1,109176,109176,109176,109176,109176,109176,109176,0.000%,.00916,0.00,0.00
Op-2-GetAnimations-15,1,109815,109815,109815,109815,109815,109815,109815,0.000%,.00911,0.00,0.00
Op-3-GetItems-9,1,3549,3549,3549,3549,3549,3549,3549,0.000%,.28177,0.36,0.04
Op-3-GetItems-14,1,13027,13027,13027,13027,13027,13027,13027,0.000%,.07676,0.10,0.01
Op-2-GetAnimations-21,1,115971,115971,115971,115971,115971,115971,115971,0.000%,.00862,0.00,0.00
Op-7-ChangeTextureMaterial-17,1,19977,19977,19977,19977,19977,19977,19977,0.000%,.05006,0.01,0.02
Op-3-GetItems-21,1,3546,3546,3546,3546,3546,3546,3546,0.000%,.28201,0.36,0.04
Op-3-GetItems-15,1,10834,10834,10834,10834,10834,10834,10834,0.000%,.09230,0.12,0.01
Op-4-HideElement-21,1,3696,3696,3696,3696,3696,3696,3696,0.000%,.27056,0.08,0.11
Op-2-GetAnimations-11,1,124780,124780,124780,124780,124780,124780,124780,0.000%,.00801,0.00,0.00
Op-5-ShowElement-21,1,3879,3879,3879,3879,3879,3879,3879,0.000%,.25780,0.07,0.09
Op-3-GetItems-2,1,123733,123733,123733,123733,123733,123733,123733,0.000%,.00808,0.01,0.00
Op-6-ChangeTextureColor-34,1,21909,21909,21909,21909,21909,21909,21909,0.000%,.04564,0.01,0.02
Op-2-GetAnimations-40,1,130652,130652,130652,130652,130652,130652,130652,0.000%,.00765,0.00,0.00
Op-3-GetItems-26,1,80294,80294,80294,80294,80294,80294,80294,0.000%,.01245,0.02,0.00
Op-3-GetItems-37,1,89282,89282,89282,89282,89282,89282,89282,0.000%,.01120,0.01,0.00
Op-2-GetAnimations-18,1,137716,137716,137716,137716,137716,137716,137716,0.000%,.00726,0.00,0.00
Op-4-HideElement-37,1,3604,3604,3604,3604,3604,3604,3604,0.000%,.27747,0.08,0.11
Op-2-GetAnimations-38,1,140952,140952,140952,140952,140952,140952,140952,0.000%,.00709,0.00,0.00
Op-5-ShowElement-37,1,3517,3517,3517,3517,3517,3517,3517,0.000%,.28433,0.08,0.10
Op-2-GetAnimations-24,1,144723,144723,144723,144723,144723,144723,144723,0.000%,.00691,0.00,0.00
Op-3-GetItems-18,1,7799,7799,7799,7799,7799,7799,7799,0.000%,.12822,0.16,0.02
Op-3-GetItems-24,1,3403,3403,3403,3403,3403,3403,3403,0.000%,.29386,0.37,0.04
Op-3-GetItems-38,1,7737,7737,7737,7737,7737,7737,7737,0.000%,.12925,0.16,0.02
Op-6-ChangeTextureColor-42,1,124656,124656,124656,124656,124656,124656,124656,0.000%,.00802,0.00,0.00
Op-4-HideElement-38,1,3742,3742,3742,3742,3742,3742,3742,0.000%,.26724,0.08,0.11
Op-4-HideElement-9,1,45119,45119,45119,45119,45119,45119,45119,0.000%,.02216,0.01,0.01
Op-6-ChangeTextureColor-5,1,87419,87419,87419,87419,87419,87419,87419,0.000%,.01144,0.00,0.00
Op-5-ShowElement-38,1,6976,6976,6976,6976,6976,6976,6976,0.000%,.14335,0.04,0.05
Op-6-ChangeTextureColor-1,1,125753,125753,125753,125753,125753,125753,125753,0.000%,.00795,0.00,0.00
Op-5-ShowElement-9,1,4755,4755,4755,4755,4755,4755,4755,0.000%,.21030,0.06,0.08
Op-7-ChangeTextureMaterial-1,1,3428,3428,3428,3428,3428,3428,3428,0.000%,.29172,0.08,0.11
Op-6-ChangeTextureColor-9,1,3650,3650,3650,3650,3650,3650,3650,0.000%,.27397,0.08,0.10
Op-8-GenerateAvatar-1,1,3426,3426,3426,3426,3426,3426,3426,0.000%,.29189,0.08,0.10
Workflow-User-1,1,167262,167262,167262,167262,167262,167262,167262,0.000%,.00598,0.02,0.01
Op-2-GetAnimations-12,1,169690,169690,169690,169690,169690,169690,169690,0.000%,.00589,0.00,0.00
Op-2-GetAnimations-45,1,170036,170036,170036,170036,170036,170036,170036,0.000%,.00588,0.00,0.00
Op-3-GetItems-12,1,4424,4424,4424,4424,4424,4424,4424,0.000%,.22604,0.29,0.03
Op-3-GetItems-45,1,4531,4531,4531,4531,4531,4531,4531,0.000%,.22070,0.28,0.03
Op-8-GenerateAvatar-17,1,58786,58786,58786,58786,58786,58786,58786,0.000%,.01701,0.00,0.01
Workflow-User-17,1,175787,175787,175787,175787,175787,175787,175787,0.000%,.00569,0.02,0.01
Op-4-HideElement-24,1,30287,30287,30287,30287,30287,30287,30287,0.000%,.03302,0.01,0.01
Op-4-HideElement-2,1,52346,52346,52346,52346,52346,52346,52346,0.000%,.01910,0.01,0.01
Op-4-HideElement-14,1,70212,70212,70212,70212,70212,70212,70212,0.000%,.01424,0.00,0.01
Op-5-ShowElement-24,1,5535,5535,5535,5535,5535,5535,5535,0.000%,.18067,0.05,0.07
Op-5-ShowElement-2,1,5050,5050,5050,5050,5050,5050,5050,0.000%,.19802,0.06,0.07
Op-5-ShowElement-14,1,3687,3687,3687,3687,3687,3687,3687,0.000%,.27122,0.08,0.10
Op-2-GetAnimations-20,1,188142,188142,188142,188142,188142,188142,188142,0.000%,.00532,0.00,0.00
Op-6-ChangeTextureColor-14,1,3652,3652,3652,3652,3652,3652,3652,0.000%,.27382,0.08,0.10
Op-3-GetItems-20,1,3474,3474,3474,3474,3474,3474,3474,0.000%,.28785,0.36,0.04
Op-7-ChangeTextureMaterial-14,1,3746,3746,3746,3746,3746,3746,3746,0.000%,.26695,0.08,0.10
Op-2-GetAnimations-47,1,194687,194687,194687,194687,194687,194687,194687,0.000%,.00514,0.00,0.00
Op-8-GenerateAvatar-14,1,3520,3520,3520,3520,3520,3520,3520,0.000%,.28409,0.08,0.10
Workflow-User-14,1,198362,198362,198362,198362,198362,198362,198362,0.000%,.00504,0.02,0.01
Op-2-GetAnimations-25,1,198628,198628,198628,198628,198628,198628,198628,0.000%,.00503,0.00,0.00
Op-7-ChangeTextureMaterial-8,1,112217,112217,112217,112217,112217,112217,112217,0.000%,.00891,0.00,0.00
Op-2-GetAnimations-48,1,201737,201737,201737,201737,201737,201737,201737,0.000%,.00496,0.00,0.00
Op-8-GenerateAvatar-8,1,3493,3493,3493,3493,3493,3493,3493,0.000%,.28629,0.08,0.10
Workflow-User-8,1,205497,205497,205497,205497,205497,205497,205497,0.000%,.00487,0.02,0.01
Op-3-GetItems-48,1,3755,3755,3755,3755,3755,3755,3755,0.000%,.26631,0.34,0.04
Op-3-GetItems-11,1,84243,84243,84243,84243,84243,84243,84243,0.000%,.01187,0.02,0.00
Op-3-GetItems-46,1,182457,182457,182457,182457,182457,182457,182457,0.000%,.00548,0.01,0.00
Op-4-HideElement-11,1,3437,3437,3437,3437,3437,3437,3437,0.000%,.29095,0.08,0.12
Op-4-HideElement-48,1,6586,6586,6586,6586,6586,6586,6586,0.000%,.15184,0.04,0.06
Op-5-ShowElement-11,1,3416,3416,3416,3416,3416,3416,3416,0.000%,.29274,0.08,0.11
Op-5-ShowElement-48,1,3460,3460,3460,3460,3460,3460,3460,0.000%,.28902,0.08,0.11
Op-6-ChangeTextureColor-11,1,3414,3414,3414,3414,3414,3414,3414,0.000%,.29291,0.08,0.11
Op-4-HideElement-33,1,166591,166591,166591,166591,166591,166591,166591,0.000%,.00600,0.00,0.00
Op-2-GetAnimations-22,1,222594,222594,222594,222594,222594,222594,222594,0.000%,.00449,0.00,0.00
Op-5-ShowElement-33,1,3389,3389,3389,3389,3389,3389,3389,0.000%,.29507,0.08,0.11
Op-3-GetItems-22,1,3511,3511,3511,3511,3511,3511,3511,0.000%,.28482,0.36,0.04
Op-6-ChangeTextureColor-33,1,3440,3440,3440,3440,3440,3440,3440,0.000%,.29070,0.08,0.11
Op-2-GetAnimations-28,1,229277,229277,229277,229277,229277,229277,229277,0.000%,.00436,0.00,0.00
Op-3-GetItems-40,1,98818,98818,98818,98818,98818,98818,98818,0.000%,.01012,0.01,0.00
Op-3-GetItems-28,1,3407,3407,3407,3407,3407,3407,3407,0.000%,.29351,0.37,0.04
Op-4-HideElement-45,1,58190,58190,58190,58190,58190,58190,58190,0.000%,.01719,0.00,0.01
Op-4-HideElement-12,1,63154,63154,63154,63154,63154,63154,63154,0.000%,.01583,0.00,0.01
Op-4-HideElement-28,1,5711,5711,5711,5711,5711,5711,5711,0.000%,.17510,0.05,0.07
Op-5-ShowElement-45,1,6014,6014,6014,6014,6014,6014,6014,0.000%,.16628,0.05,0.06
Op-5-ShowElement-12,1,3749,3749,3749,3749,3749,3749,3749,0.000%,.26674,0.08,0.10
Op-5-ShowElement-28,1,3815,3815,3815,3815,3815,3815,3815,0.000%,.26212,0.07,0.10
Op-4-HideElement-13,1,211154,211154,211154,211154,211154,211154,211154,0.000%,.00474,0.00,0.00
